HWG area;HWG length;HWG min rect;GR area;GR length;GR min rect;Contours count;Min contour length;Max contour length;Sum contour length;Avg contour length;Min contour area;Max contour area;Sum contour area;Avg contour area;Label;Filename
22287.0;619.0629361867905;31291.39230915159;3989.0;346.14009749889374;6300.620651548903;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_13_812.bin
23124.5;612.5266607999802;30646.02049823478;2815.5;289.09533429145813;4659.491441452759;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_13_858.bin
20589.5;562.4206303358078;26267.760112067335;789.5;154.46005773544312;1489.5252831967955;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_13_918.bin
19513.5;552.3597123622894;26101.136503474787;766.5;170.92643785476685;1380.245610664977;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_13_947.bin
18481.0;527.879242181778;24276.30002843216;694.5;154.79510915279388;1160.873959983961;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_13_971.bin
17983.0;513.822218298912;22708.70359805692;588.5;146.00594115257263;910.7698686620279;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_011.bin
17803.0;513.5801057815552;21837.993545532692;602.5;152.56147861480713;949.0;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_040.bin
17736.5;516.5774827003479;22372.0;713.5;163.7791645526886;1143.4069824189064;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_085.bin
18224.5;529.2506229877472;22749.457463912666;747.0;170.75261163711548;1198.9521780264913;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_136.bin
18333.5;536.5700993537903;22686.0;643.0;163.81885766983032;1020.6722844770411;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_190.bin
18225.5;541.4351828098297;22288.0;583.0;161.9636173248291;909.7017831620906;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_233.bin
18074.5;539.8269546031952;22089.0;553.0;156.72937631607056;862.2218598323961;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_270.bin
17652.5;533.2555820941925;21691.0;497.0;149.0598599910736;781.9135762784645;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_293.bin
17440.0;529.705850481987;21582.0;434.5;143.81314182281494;691.5614473083042;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_14_334.bin
15060.0;492.8999390602112;17870.044231199892;729.5;186.9540982246399;1251.467575415445;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_21_069.bin
6540.5;306.8070023059845;7565.0;90.0;63.26646339893341;116.76987979962223;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_21_304.bin
6222.0;299.1638894081116;7482.0;1080.0;141.44425201416016;1655.8855036377936;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_22_127.bin
8848.0;354.9912338256836;10672.0;1299.5;152.6080378293991;1971.4656902244315;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_22_146.bin
11119.5;409.3087605237961;13679.994903564919;1607.0;166.85817635059357;2345.283354487372;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_22_182.bin
13015.5;459.7289880514145;16731.0;1856.5;177.4263551235199;2688.399640943302;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_22_210.bin
15206.0;512.4040540456772;19556.622312515974;1971.0;182.08715343475342;2842.5072813495062;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_22_238.bin
19181.5;547.9320285320282;23143.052919825073;2403.5;291.4943736791611;4192.525218284049;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_31_29_135.bin
8945.5;372.70269083976746;11957.986595810391;269.0;83.56807589530945;474.35302263977064;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_02_796.bin
13413.5;450.1376314163208;17432.276515558362;289.0;82.87890684604645;418.0;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_02_825.bin
16529.5;521.9719511270523;21248.6146631625;305.0;81.52975058555603;444.0;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_02_860.bin
21098.0;600.1041452884674;27977.592134502484;310.0;100.24668967723846;607.9999297711038;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_02_892.bin
7823.5;342.9349355697632;9657.0;104.0;46.84693002700806;179.50821294496563;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_28_720.bin
10015.5;388.42616045475006;12353.995178223122;136.0;59.10032773017883;238.2359926623467;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_28_761.bin
14513.0;501.14371371269226;18216.0;219.5;63.00720751285553;361.88765381507983;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_28_798.bin
13240.5;480.3116799592972;15565.889918921632;1357.0;159.12929379940033;2129.476733215968;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_37_474.bin
9171.5;384.94891715049744;10773.0;1189.0;151.65191233158112;1795.306637206013;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_32_37_520.bin
7549.5;327.62368965148926;9639.296835574496;137.0;54.507508277893066;222.4800286483769;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_590.bin
8302.5;347.62507379055023;10400.04019083362;223.5;69.35925269126892;398.9272259524987;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_615.bin
9282.0;374.0882896184921;11547.58376610023;307.5;78.10874378681183;532.0000175309433;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_654.bin
10202.5;403.2046227455139;12756.400352014694;409.5;87.6171007156372;692.1176649347763;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_689.bin
11353.0;440.8732213973999;13966.80192160979;504.0;98.23285508155823;856.3097726357628;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_729.bin
13548.5;489.3489603996277;16731.36761133047;764.0;127.24857723712921;1382.0769638367346;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_30_758.bin
17134.0;537.3460555076599;21160.17710987106;262.5;125.4418181180954;437.99988888713415;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_32_444.bin
14768.0;508.1855880022049;17351.6883333812;725.5;175.9374647140503;1190.6154420385428;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_34_59_979.bin
11685.5;438.20983719825745;13803.033418132109;212.0;100.87338042259216;346.90521603234083;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_00_041.bin
7661.5;328.9779225587845;9102.0;511.0;97.07670211791992;843.4941090973152;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_00_070.bin
14412.5;522.4896442890167;18053.238410777412;113.0;101.81158137321472;164.73065877278714;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_00_497.bin
21978.5;616.0040627717972;28911.755309881642;1136.5;229.13676834106445;1913.7898766809667;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_05_068.bin
19411.5;572.7309281826019;25770.40196279646;668.0;183.5643790960312;1063.9999433986377;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_05_102.bin
18597.0;558.6565581560135;24752.66755376011;566.0;189.21335899829865;839.4890204001422;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_05_149.bin
17772.5;547.797203540802;23227.237729456276;848.5;203.63605189323425;1267.1999599131814;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_05_197.bin
17394.5;547.2680861949921;22583.88658993598;787.0;203.0617871284485;1216.4118202208629;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_05_236.bin
28382.0;785.8286983966827;41880.113165882416;1172.0;150.23355650901794;1759.3060519914434;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_10_615.bin
19472.0;640.0717924833298;31020.34242847259;148.0;159.55590999126434;230.66741943813759;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_10_680.bin
16731.0;556.8984725475311;26827.924509883742;206.5;160.85447907447815;336.5554639924667;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_10_713.bin
11577.0;418.91904067993164;15736.912000009674;110.0;43.99035024642944;129.30770539696823;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_10_761.bin
9584.5;389.22452116012573;13425.92817007564;97.5;52.46990370750427;142.48754662049578;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_21_705.bin
10889.0;424.9161400794983;15143.800287269056;22.0;29.388673067092896;29.99999863596895;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_21_732.bin
12158.0;457.3692054748535;16816.894177683163;30.0;31.15090274810791;41.99999873098864;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_21_782.bin
13455.0;490.87036299705505;18494.194384766044;50.0;42.59234952926636;72.49998259844688;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_21_839.bin
14804.5;520.2920386791229;20121.275078125298;77.5;56.730775117874146;116.87779578020127;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;prazdna_ruka;03_28_15_35_21_876.bin
41391.0;807.5466201305389;55321.97937011905;9303.0;431.7885937690735;14151.499577762559;4;31.313707;95.35534;277.33807;69.33452;10.0;56.5;126.0;31.5;ruka_se_zbozim;03_28_15_31_06_573.bin
40884.5;783.1807022094727;54253.81152079627;9257.0;431.5309752225876;15231.467190007446;4;23.485281;140.15433;256.9239;64.23097;2.5;59.5;105.5;26.375;ruka_se_zbozim;03_28_15_31_06_600.bin
37983.5;755.8945106267929;50189.69978227466;7539.5;405.44003319740295;12041.968204369303;2;81.1127;94.1127;175.2254;87.6127;23.0;49.0;72.0;36.0;ruka_se_zbozim;03_28_15_31_06_629.bin
34726.0;724.2896221876144;46074.67066363804;6987.5;380.47205901145935;10940.608782813884;2;64.35534;236.88225;301.23758;150.61879;3.5;113.0;116.5;58.25;ruka_se_zbozim;03_28_15_31_06_659.bin
31322.5;692.1471525430679;41510.17074874649;5919.0;339.80514085292816;10178.599228599458;3;34.656853;95.769554;206.36752;68.78918;10.0;25.0;55.5;18.5;ruka_se_zbozim;03_28_15_31_06_714.bin
28391.0;666.7057012319565;37158.421725492924;5215.0;312.57358479499817;8934.826802270429;4;20.242641;166.91168;246.4386;61.60965;11.0;77.0;117.0;29.25;ruka_se_zbozim;03_28_15_31_06_763.bin
25456.0;642.0484981536865;32625.0;4586.0;289.67760717868805;7843.126282225363;4;24.970562;81.1127;206.85281;51.713203;2.5;33.0;62.0;15.5;ruka_se_zbozim;03_28_15_31_06_792.bin
22940.0;625.3457787036896;28490.0;4236.5;274.9798836708069;7047.001234128373;3;21.899494;80.1127;144.74011;48.246704;6.5;33.0;52.5;17.5;ruka_se_zbozim;03_28_15_31_06_840.bin
19924.5;603.0595083236694;24287.993209839333;3487.0;247.27042031288147;5376.001090962265;3;73.970566;84.62742;243.05383;81.017944;8.0;30.0;66.0;22.0;ruka_se_zbozim;03_28_15_31_06_873.bin
17040.5;587.3585367202759;20500.0;3004.5;229.84830474853516;4619.725448124227;3;22.071068;139.66905;184.88226;61.627422;6.0;37.5;58.0;19.333334;ruka_se_zbozim;03_28_15_31_06_907.bin
14496.0;566.7976559400558;17324.0;2590.5;212.1191784143448;3693.1147292912647;3;66.142136;133.76955;290.36752;96.78918;23.5;41.0;104.5;34.833332;ruka_se_zbozim;03_28_15_31_06_932.bin
11857.5;538.2405774593353;14460.0;1311.0;146.57283651828766;1667.0765239653701;4;25.485281;99.1127;205.2254;51.30635;1.0;97.0;123.0;30.75;ruka_se_zbozim;03_28_15_31_06_973.bin
8065.0;437.9841277599335;9843.0;1482.5;182.60126638412476;2180.2121344247425;2;20.313707;59.142136;79.45584;39.72792;3.0;5.0;8.0;4.0;ruka_se_zbozim;03_28_15_31_06_994.bin
31106.5;704.6812880039215;41039.9825134296;7695.5;371.5805616378784;12546.003318442265;4;30.071068;217.50966;315.93607;78.98402;3.5;89.0;105.0;26.25;ruka_se_zbozim;03_28_15_31_10_362.bin
33674.5;724.9739973545074;44660.0;8772.5;394.72886633872986;14517.089171085623;2;44.142136;205.85281;249.99495;124.997475;12.0;64.0;76.0;38.0;ruka_se_zbozim;03_28_15_31_10_762.bin
13868.5;461.425749540329;17784.0;1548.0;154.21321892738342;2152.782267033326;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_16_324.bin
9271.5;354.6656371355057;11503.882319654804;1146.5;135.73732447624207;1564.7061377796635;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_16_371.bin
6856.0;314.5144342184067;8160.0;1114.5;136.6530805826187;1564.9055207573983;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_16_392.bin
15425.5;499.4205882549286;19980.0;2575.0;196.60411942005157;3570.0;1;124.970566;124.970566;124.970566;124.970566;81.5;81.5;81.5;81.5;ruka_se_zbozim;03_28_15_31_24_469.bin
14457.0;476.69492423534393;18806.57666051411;2572.0;194.59951782226562;3532.9060247257294;1;123.55635;123.55635;123.55635;123.55635;69.0;69.0;69.0;69.0;ruka_se_zbozim;03_28_15_31_24_500.bin
13696.5;455.9936761856079;17808.0;2552.5;193.6927318572998;3536.0;1;118.38477;118.38477;118.38477;118.38477;96.5;96.5;96.5;96.5;ruka_se_zbozim;03_28_15_31_24_533.bin
12885.5;436.671563744545;16566.18120626686;2515.0;193.23891854286194;3536.0;1;116.38477;116.38477;116.38477;116.38477;53.0;53.0;53.0;53.0;ruka_se_zbozim;03_28_15_31_24_559.bin
12208.0;419.6403919458389;15429.0;2551.5;195.54700469970703;3588.0;1;115.79899;115.79899;115.79899;115.79899;53.0;53.0;53.0;53.0;ruka_se_zbozim;03_28_15_31_24_596.bin
11516.5;401.4517798423767;14245.64864167641;2569.0;195.03200554847717;3657.0;1;110.38477;110.38477;110.38477;110.38477;82.5;82.5;82.5;82.5;ruka_se_zbozim;03_28_15_31_24_625.bin
10783.5;384.5389357805252;12831.511952860688;2507.0;194.8661379814148;3519.0;1;111.04163;111.04163;111.04163;111.04163;39.5;39.5;39.5;39.5;ruka_se_zbozim;03_28_15_31_24_643.bin
10082.5;372.8091356754303;11685.64580214105;2531.0;198.0560804605484;3638.061888862285;1;105.79899;105.79899;105.79899;105.79899;83.0;83.0;83.0;83.0;ruka_se_zbozim;03_28_15_31_24_723.bin
6925.5;318.01563835144043;8374.0;2875.5;205.70688223838806;3891.1336345134478;2;30.556349;41.899494;72.45584;36.22792;3.5;31.0;34.5;17.25;ruka_se_zbozim;03_28_15_31_27_162.bin
9845.0;370.61408817768097;11554.0;3084.5;213.85606515407562;4204.971906328661;1;26.727922;26.727922;26.727922;26.727922;5.0;5.0;5.0;5.0;ruka_se_zbozim;03_28_15_31_27_222.bin
11106.5;392.689572930336;12978.929699276225;3116.5;212.7421590089798;4245.0582536858565;2;27.485281;49.62742;77.1127;38.55635;10.0;15.0;25.0;12.5;ruka_se_zbozim;03_28_15_31_27_255.bin
11916.5;412.75064301490784;14482.542610551696;3264.5;217.15570783615112;4428.919609354343;3;27.727922;50.72792;111.18376;37.061253;2.5;7.5;14.5;4.8333335;ruka_se_zbozim;03_28_15_31_27_302.bin
12833.5;436.1608394384384;15939.238859601552;3229.5;215.5477523803711;4404.941252478689;1;62.28427;62.28427;62.28427;62.28427;9.5;9.5;9.5;9.5;ruka_se_zbozim;03_28_15_31_27_357.bin
14916.5;490.5274769067764;19031.941015666234;3268.0;218.10961508750916;4453.0497840675525;1;127.04163;127.04163;127.04163;127.04163;33.5;33.5;33.5;33.5;ruka_se_zbozim;03_28_15_31_27_397.bin
11718.0;459.920382976532;14427.312991995597;42.0;25.59435546398163;54.600000451757296;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_270.bin
10320.5;419.6863989830017;12917.94422875857;0.0;2.0;0.0;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_314.bin
9049.0;384.5490643978119;11313.476429660805;43.5;26.39801514148712;57.19999895006913;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_337.bin
8006.0;356.29607462882996;9988.39972099755;11.5;17.12241756916046;16.0;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_363.bin
7546.0;356.53131878376007;10711.130007702392;363.0;85.34989178180695;694.9999546000618;1;41.627415;41.627415;41.627415;41.627415;7.0;7.0;7.0;7.0;ruka_se_zbozim;03_28_15_31_31_392.bin
5640.0;300.08994472026825;7756.764052227372;20.5;18.822014331817627;33.52941025287555;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_428.bin
4203.5;260.0131343603134;6108.452950702631;4.5;9.738768935203552;5.199999967790632;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_466.bin
3326.5;240.17688357830048;4896.0;11.5;14.24552309513092;17.99999839607881;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_31_499.bin
7656.0;344.4061424732208;10742.110780873918;1441.0;160.10364949703217;1992.922938299962;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_33_838.bin
9401.5;382.67438304424286;12967.272862460813;1963.5;184.23434209823608;2577.241498371586;1;46.213203;46.213203;46.213203;46.213203;17.5;17.5;17.5;17.5;ruka_se_zbozim;03_28_15_31_33_881.bin
9545.0;386.5645053386688;12997.395082156523;1502.0;159.92634177207947;1887.627416482428;1;46.112698;46.112698;46.112698;46.112698;7.0;7.0;7.0;7.0;ruka_se_zbozim;03_28_15_31_33_937.bin
11809.5;436.0040910243988;15486.391674216138;2440.0;188.1280438899994;3263.541591322981;1;129.88225;129.88225;129.88225;129.88225;27.0;27.0;27.0;27.0;ruka_se_zbozim;03_28_15_31_33_981.bin
12175.0;448.6522754430771;16133.824077144964;2225.5;184.77733945846558;3008.338568672887;1;48.698483;48.698483;48.698483;48.698483;6.5;6.5;6.5;6.5;ruka_se_zbozim;03_28_15_31_34_028.bin
14538.5;509.09180903434753;18882.54343493795;2691.5;198.57790422439575;3650.2411387229804;2;21.485281;128.2254;149.71068;74.85534;0.0;43.0;43.0;21.5;ruka_se_zbozim;03_28_15_31_34_136.bin
11606.5;429.46900820732117;15702.644604550791;212.5;105.66225218772888;311.5999806566688;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_40_588.bin
12755.5;459.15763211250305;16951.613822340034;190.0;102.77507472038269;271.87577463138587;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_40_644.bin
13330.0;473.11711370944977;17640.498602704145;223.0;109.7387444972992;360.6597975363402;0;3.4028235E38;0.0;0.0;0.0;3.4028235E38;0.0;0.0;0.0;ruka_se_zbozim;03_28_15_31_40_683.bin
